"land","barr","mort","mcrun","A","He","Ho","Fis","Dps","Gst","Gstp","Djost"
"ibd1","0000","000","0","8.3","0.715208050830046","0.553685897435897","0.220454119506938","0.0368825301204819","0.127932352765192","0.321846615130182","0.0637030399164098"
"ibd1","0000","000","0","7.4","0.700586057763683","0.47207488299532","0.328810951314707","0.0236655405405405","0.257078330134793","0.761490527931304","0.172351952463335"
"ibd1","0000","000","0","8.1","0.677452084229728","0.47239165329053","0.309780258910679","0.0240432098765432","0.248253136647188","0.658257167832735","0.138454958263342"
"ibd1","0000","000","0","8.7","0.651154387490765","0.452446483180428","0.29634096809643","0.0305172413793103","0.217837630365421","0.344908909745137","0.0661724420122922"
"ibd1","0000","000","0","8.1","0.666838352546319","0.451534733441034","0.321685149077419","0.0267901234567901","0.258545174280253","0.505386598233676","0.0996017031231773"
"ibd1","0000","000","0","8.4","0.667364187639426","0.453721682847896","0.319309772945465","0.0277083333333333","0.245876226219651","0.354256443578024","0.0730634857818709"
"ibd1","0000","000","0","7.4","0.618382220397372","0.440189873417722","0.2697368694222","0.0373310810810811","0.213209529428688","0.241876701424553","0.0196750603934311"
"ibd1","0000","000","0","8.1","0.692806177790604","0.491798107255521","0.285897876980753","0.0308950617283951","0.199127143469385","0.381353236942987","0.0787269739131155"
"ibd1","0000","000","0","7.9","0.603826119417745","0.429716981132075","0.272112868304324","0.043243670886076","0.177643999074884","0.226957953312445","0.0345289739338885"
"ibd1","0000","000","0","8.6","0.722313716172984","0.469631901840491","0.359361521125241","0.0165552325581395","0.278406724833593","0.601813786764679","0.137537918361485"
