"land","barr","mort","mcrun","A","He","Ho","Fis","Dps","Gst","Gstp","Djost"
"ibd1","0000","000","0","7.6","0.700687395636501","0.600772797527048","0.144101363025726","0.057516447368421","0.0712567546976123","0.313266896351872","0.0664301716502526"
"ibd1","0000","000","0","7.9","0.587193483394582","0.484927066450567","0.173520216210819","0.0492246835443038","0.0993487143140701","0.089740135584092","0.0226523346894948"
"ibd1","0000","000","0","7.7","0.594154008857162","0.53739837398374","0.0940090431472873","0.0665422077922078","0.081929596327465","0.233638146916707","0.0381653100809094"
"ibd1","0000","000","0","8.3","0.657791264499654","0.552467105263158","0.160054059968685","0.0437650602409639","0.07036348261755","0.18038300208654","-0.599745227873739"
"ibd1","0000","000","0","7.9","0.700056536170523","0.639865996649916","0.0851744374183102","0.0598101265822785","0.0280766202289712","0.0387347316129674","0.0115210044107299"
"ibd1","0000","000","0","8.5","0.655285563631476","0.566720257234727","0.125382895893534","0.0496029411764706","0.0953799776743477","0.283249719501779","0.0357641444125191"
"ibd1","0000","000","0","8","0.656951738550752","0.558712715855573","0.149690698694329","0.058109375","0.0686085072557006","0.0284411280055919","0.00804108672525496"
"ibd1","0000","000","0","8.4","0.660772294410822","0.589465408805031","0.106870806554119","0.0620684523809524","0.0483617614388352","0.179404982928387","0.0844081720035571"
"ibd1","0000","000","0","7.7","0.634393901014258","0.554340836012862","0.12712723314974","0.0607954545454545","0.0782151847773191","0.101941171970848","0.0186963188995112"
"ibd1","0000","000","0","7.3","0.588909895587161","0.496025437201908","0.153186352096069","0.0663698630136986","0.0454777646443296","0.188658230894329","-0.101340413708192"
