"land","barr","mort","mcrun","A","He","Ho","Fis","Dps","Gst","Gstp","Djost"
"ibd1","0000","000","0","8.3","0.654404753773649","0.511074380165289","0.218166077023025","0.0317168674698795","0.191317588497709","0.199179934553159","0.0386317149398966"
"ibd1","0000","000","0","7.6","0.63665326614197","0.445484400656814","0.297052779563467","0.0211019736842105","0.299377358876795","0.0031643798523262","0.00450110056567725"
"ibd1","0000","000","0","8.2","0.714996099178069","0.572771474878444","0.195221349316628","0.0297103658536585","0.202147979451081","0.54177750661497","0.115489894252454"
"ibd1","0000","000","0","7.8","0.659466981861805","0.457166392092257","0.296113588381218","0.0212980769230769","0.345218410906698","0.857139879818408","-0.0169501144533345"
"ibd1","0000","000","0","7.9","0.650428387585971","0.504248366013072","0.209980120470613","0.0286867088607595","0.24941927140615","0.359532955861587","0.0517794164092753"
"ibd1","0000","000","0","8.2","0.743017767540901","0.528733766233766","0.289798568051495","0.0114939024390244","0.274583981908416","0.676891861671662","0.156444941987679"
"ibd1","0000","000","0","7.8","0.645838487090325","0.469082125603865","0.269618431346033","0.0255608974358974","0.303617572018772","0.371217788662224","0.0284439640773648"
"ibd1","0000","000","0","8.3","0.683127629987283","0.527652733118971","0.221137225381914","0.0263102409638554","0.239139273183653","0.444505850217122","0.0948763419342356"
"ibd1","0000","000","0","7.3","0.588267962191817","0.417723577235772","0.257393302066824","0.0311301369863014","0.324067601550696","0.535845784204781","0.0620529887450924"
"ibd1","0000","000","0","8.4","0.693128320543093","0.517532467532468","0.247284320814468","0.0217113095238095","0.214061614368457","0.60511134125878","0.111057360256896"
