"land","barr","mort","mcrun","A","He","Ho","Fis","Dps","Gst","Gstp","Djost"
"ibd1","0000","000","0","8.2","0.638451732903466","0.583622047244094","0.0846013173512225","0.0664786585365854","0.0267754273499154","0.0180988957676852","0.0061733648648965"
"ibd1","0000","000","0","8.4","0.597204279608815","0.540842787682334","0.0902573077960759","0.0567708333333333","0.0600479793108357","0.0641844007950847","0.0138682548494542"
"ibd1","0000","000","0","8.2","0.665020420473874","0.574685534591195","0.142530252974231","0.059984756097561","0.0930085729416704","0.227931660732398","0.0471544907476678"
"ibd1","0000","000","0","7.9","0.689923533382893","0.622366288492707","0.0973586178243861","0.0611392405063291","0.0515432355727333","0.24732049036744","-0.0337639158223158"
"ibd1","0000","000","0","8.3","0.645241224264818","0.57444089456869","0.107036907983074","0.0531475903614458","0.0718798801714519","0.217053680297433","0.041890603098525"
"ibd1","0000","000","0","8.3","0.649921260628567","0.590995260663507","0.088503317752632","0.0633132530120482","0.0415102022363144","0.0728674894585102","0.0187201942078915"
"ibd1","0000","000","0","7.3","0.681912328753405","0.598575949367089","0.12204617655093","0.0653424657534247","0.0860886009495231","0.133089807646167","0.028095764970582"
"ibd1","0000","000","0","7.7","0.631258396441402","0.55615141955836","0.116867877567861","0.0623051948051948","0.0857369987062927","0.213448416031424","-0.0649667380522407"
"ibd1","0000","000","0","8.2","0.621825225682593","0.5425431711146","0.126489739877391","0.0612957317073171","0.063187978320621","0.222633948637839","-0.0379291704753743"
"ibd1","0000","000","0","8.4","0.711441440785707","0.645327102803738","0.0928235807506357","0.0565029761904762","0.0458992318129267","0.16553845622722","0.0346660068056173"
