"land","barr","mort","mcrun","A","He","Ho","Fis","Dps","Gst","Gstp","Djost"
"ibd1","0000","000","0","8.5","0.738018907174556","0.486858974358974","0.342110324884368","0.0176764705882353","0.228571691462855","0.628044012640591","0.144611828963083"
"ibd1","0000","000","0","7.8","0.714753421541869","0.474056603773585","0.342570161293262","0.021875","0.298333278694753","0.806499394886647","0.189998689130703"
"ibd1","0000","000","0","8.3","0.687797755595511","0.415433070866142","0.39764397853063","0.0193674698795181","0.294383468082874","0.510628245821064","0.104751333614957"
"ibd1","0000","000","0","8","0.738605371704009","0.501234567901235","0.325411255948901","0.026703125","0.173042566065985","0.580258520004686","0.126137792789027"
"ibd1","0000","000","0","8.6","0.667659029897212","0.456869009584665","0.303275136477921","0.0250581395348837","0.187437583456382","0.528353271219655","0.00138069841537716"
"ibd1","0000","000","0","8.5","0.751231074462149","0.544094488188976","0.276066804533682","0.0223529411764706","0.211536388444979","0.767470014868651","0.178724736039163"
"ibd1","0000","000","0","8","0.683902451970347","0.463434022257552","0.32291235728818","0.0306875","0.21692124826709","0.102074849321314","0.0229707791794915"
"ibd1","0000","000","0","8.1","0.677518566314624","0.437735849056604","0.346544282807764","0.0326388888888889","0.235781613284313","0.546545102682021","0.110405207889736"
"ibd1","0000","000","0","7.8","0.660627651315101","0.474726989079563","0.274628756561956","0.0384615384615385","0.181013470790323","0.64481248548706","-0.0529990685459408"
"ibd1","0000","000","0","8.5","0.691268662474442","0.501708074534161","0.272701137203483","0.0346764705882353","0.130188207785873","0.258801433456804","0.0509685952571671"
