"land","barr","mort","mcrun","A","He","Ho","Fis","Dps","Gst","Gstp","Djost"
"ibd1","0000","000","0","8.9","0.6751115625","0.57525","0.145101088676554","0.0497612359550562","0.150696500099513","0.0123882254447947","0.00642152026554826"
"ibd1","0000","000","0","8.7","0.778822890625","0.668625","0.140855886678997","0.0367385057471264","0.142323491333088","0.608140937241557","0.140447262757904"
"ibd1","0000","000","0","9.1","0.69456078125","0.617125","0.123553901648646","0.0520467032967033","0.126560819936517","0.244310227884398","0.0510153374750512"
"ibd1","0000","000","0","8.9","0.69963171875","0.574875","0.176897578638626","0.0376544943820225","0.186693007930055","0.420445564301021","0.0720532569405173"
"ibd1","0000","000","0","8.9","0.7068559375","0.614375","0.130117171479112","0.047373595505618","0.124161977769504","0.462155714391835","0.0896659821458235"
"ibd1","0000","000","0","8.8","0.697985390625","0.57275","0.181831878325215","0.0404829545454545","0.18801071354933","0.195142916886773","0.0391561061320445"
"ibd1","0000","000","0","9.3","0.703884609375","0.582625","0.164961474232977","0.0365188172043011","0.181164276546854","0.188346722532252","0.0289538727009566"
"ibd1","0000","000","0","9","0.744968984375","0.649125","0.128235621381121","0.0415694444444444","0.134070305208761","0.486106619373066","0.106126250781779"
"ibd1","0000","000","0","9.4","0.7360565625","0.62475","0.151949796217259","0.0386702127659574","0.150238262994097","0.443385489964062","0.0979850333648486"
"ibd1","0000","000","0","9.2","0.673406328125","0.528","0.212850613975836","0.042554347826087","0.209298225632779","0.257562249615789","0.0520155458475927"
