"land","barr","mort","mcrun","A","He","Ho","Fis","Dps","Gst","Gstp","Djost"
"ibd1","0000","000","0","8.7","0.719957789209867","0.661152882205514","0.0809685828452056","0.0744396551724138","0.0422435307394669","0.0808179431074677","0.0183628299215672"
"ibd1","0000","000","0","8.7","0.73357734375","0.670125","0.0872896223493287","0.0733333333333333","0.0512291872466422","0.19666809002069","0.0426992862171715"
"ibd1","0000","000","0","8.5","0.734045686018662","0.660700876095119","0.102872071306974","0.0696323529411765","0.0592949995014684","0.2189490147779","0.0477786635673825"
"ibd1","0000","000","0","9.5","0.672332374813767","0.608165829145729","0.0943648380125256","0.0628289473684211","0.0614688913610572","0.148753333852417","0.0312240255158863"
"ibd1","0000","000","0","9","0.677105645543435","0.618946047678795","0.0863606326694718","0.0754166666666667","0.0434222774340491","0.130452446093243","0.0273010029223051"
"ibd1","0000","000","0","8.6","0.700227680867054","0.629811320754717","0.102422778485751","0.0672238372093023","0.0733119030915018","0.183239107901012","0.0393840107999613"
"ibd1","0000","000","0","8.6","0.733836503497386","0.635175879396985","0.13950927666274","0.066875","0.0782787929023125","0.199241006968626","0.0440123229500441"
"ibd1","0000","000","0","9","0.710893635536569","0.62","0.124199905269896","0.0618611111111111","0.0795153397324053","0.190319624140652","0.0374089919643756"
"ibd1","0000","000","0","8.7","0.713373794222368","0.629899497487437","0.118973355363829","0.0692097701149425","0.0593643322227155","0.226195940483171","0.045527745006837"
"ibd1","0000","000","0","8.8","0.696033046875","0.62425","0.101934384992741","0.0725142045454545","0.0494363023776546","0.192388764385275","0.0392589926640547"
