"land","barr","mort","mcrun","A","He","Ho","Fis","Dps","Gst","Gstp","Djost"
"ibd1","0000","000","0","9.1","0.716723120457786","0.663032581453634","0.0743640450516506","0.0691620879120879","0.0430491402498298","0.15913147943182","0.0335936459788137"
"ibd1","0000","000","0","9.1","0.69032171875","0.6405","0.070384290612634","0.0740796703296703","0.0465593728173966","0.0620356768830968","0.0106224289873498"
"ibd1","0000","000","0","8.8","0.639714693429365","0.60287859824781","0.0572467084266993","0.0782102272727273","0.0412344294286945","0.0820205522023348","0.0151912077169329"
"ibd1","0000","000","0","9.1","0.72528859375","0.679375","0.0645736576635194","0.0769230769230769","0.0317108702519761","0.114948199079878","0.0250689384622431"
"ibd1","0000","000","0","9","0.704701640625","0.64525","0.0851683092771481","0.0703333333333333","0.0509037077553612","0.187214432619363","0.0384676410209636"
"ibd1","0000","000","0","9.1","0.720897109375","0.671625","0.0680946129594538","0.0690521978021978","0.0470552114216314","0.143002029197123","0.0306816209898444"
"ibd1","0000","000","0","9","0.726855078125","0.688375","0.0555249248900743","0.0753333333333333","0.0358640673262827","0.165056860829131","0.0361078306259788"
"ibd1","0000","000","0","9.2","0.619691171875","0.574375","0.0732549629558032","0.0752309782608696","0.045017454217417","0.0700252701763596","0.0119500561915238"
"ibd1","0000","000","0","9.3","0.705765703125","0.660125","0.0612012574709975","0.0713844086021505","0.0378318675479524","0.112152822052576","0.0184106741543276"
"ibd1","0000","000","0","9.3","0.694374765625","0.635875","0.0851743764100121","0.0691263440860215","0.0470935148542613","0.137590163203806","0.0300550253760509"
