"land","barr","mort","mcrun","A","He","Ho","Fis","Dps","Gst","Gstp","Djost"
"ibd1","0000","000","0","7.9","0.681361036945335","0.488753799392097","0.28519407576897","0.0303006329113924","0.224110126298806","0.65780002480166","0.144399976023896"
"ibd1","0000","000","0","8.1","0.634975168858587","0.454298642533937","0.260475017428008","0.0329166666666667","0.232661240019115","0.230938861375152","0.022935783016228"
"ibd1","0000","000","0","8.5","0.696115950100245","0.555671641791045","0.204329504164233","0.0478676470588235","0.111615713442466","0.263366094748659","0.0533242051990513"
"ibd1","0000","000","0","8.6","0.698494103741295","0.519335347432024","0.249477740951269","0.02875","0.214216517936884","0.379937913322631","0.0722242770347731"
"ibd1","0000","000","0","8.9","0.665771263225445","0.444444444444444","0.316471468484629","0.0237780898876404","0.269220301215598","0.304895738496791","0.0487582172062798"
"ibd1","0000","000","0","8.4","0.737006070082467","0.484202682563338","0.34790707199899","0.0172767857142857","0.258614260042795","0.830484790589784","0.195401659773167"
"ibd1","0000","000","0","8.7","0.648173364592067","0.54287856071964","0.157676203340979","0.0488362068965517","0.123481907786265","0.0498529813410299","0.0107366090164749"
"ibd1","0000","000","0","9","0.732457284408809","0.524260355029586","0.289484939335859","0.0239166666666667","0.210545852694072","0.692601220064679","0.159269281639582"
"ibd1","0000","000","0","8","0.663625680473373","0.499846153846154","0.238325460183139","0.030015625","0.198439901089537","0.499938033027414","0.0953446748752629"
"ibd1","0000","000","0","8.3","0.690871352194253","0.483134328358209","0.303068929592503","0.027183734939759","0.25099097377052","0.709364727975337","0.159639903798895"
