"land","barr","mort","mcrun","A","He","Ho","Fis","Dps","Gst","Gstp","Djost"
"ibd1","0000","000","0","9","0.691024137648039","0.619974874371859","0.0955323885982308","0.0704166666666667","0.0503005741356374","0.138828759630231","0.0217268500877507"
"ibd1","0000","000","0","8.3","0.701662206895685","0.651754385964912","0.0733202668470971","0.0829969879518072","0.0356046871513787","0.144187140602919","0.0294724448090918"
"ibd1","0000","000","0","9.4","0.701331885478106","0.640726817042606","0.0847935577116428","0.0707712765957447","0.0403579570811214","0.130652198735648","0.0259617165685598"
"ibd1","0000","000","0","9.4","0.701543852191182","0.647103274559194","0.0778651683419542","0.0731781914893617","0.0300103489988597","0.107437726944331","0.0221155583826642"
"ibd1","0000","000","0","8.2","0.684483576936753","0.621526908635795","0.0893460371415154","0.0803353658536585","0.0440840334464608","0.108602946104374","0.0221911782319388"
"ibd1","0000","000","0","8.2","0.712268581147898","0.630943396226415","0.115112425796344","0.0820884146341463","0.0390713284537062","0.0814408028284632","0.0186455364501783"
"ibd1","0000","000","0","8.6","0.673951640625","0.625625","0.0677515577456501","0.080828488372093","0.0343179394531075","0.0922585438022125","0.0181324262666995"
"ibd1","0000","000","0","8.7","0.687203105884859","0.61188986232791","0.108048919157294","0.0693103448275862","0.0679213962323533","0.184079566661356","0.0376461772477311"
"ibd1","0000","000","0","8.5","0.640378703374075","0.590314465408805","0.0789512780496066","0.0870882352941176","0.0259745675659871","0.0603274529203671","0.011662483667334"
"ibd1","0000","000","0","9.2","0.656004045200721","0.596115288220551","0.089238152127442","0.0777989130434783","0.0320385705033273","0.0473611105741694","0.0105864071102128"
