"land","barr","mort","mcrun","A","He","Ho","Fis","Dps","Gst","Gstp","Djost"
"ibd1","0000","000","0","7.5","0.641368625698554","0.465384615384615","0.25787392768958","0.0291833333333333","0.299198492369012","0.768989274645042","-0.0182002076724741"
"ibd1","0000","000","0","7.8","0.694197639299803","0.485416666666667","0.302189909920965","0.024150641025641","0.346989010750074","0.42036194459127","0.0931871294593221"
"ibd1","0000","000","0","7.8","0.732934525515575","0.579050736497545","0.211845487934724","0.0261698717948718","0.210022275948644","0.731318870315314","0.168709207622934"
"ibd1","0000","000","0","7.9","0.701613274263087","0.464308681672026","0.349913486121794","0.0176107594936709","0.375397982834853","0.911164624400551","0.220563206717815"
"ibd1","0000","000","0","8.7","0.667797304106828","0.51968253968254","0.22392305878721","0.0310488505747126","0.207463050348395","0.440636266994253","0.0933704411315564"
"ibd1","0000","000","0","8","0.67802632500175","0.511594202898551","0.254854073455083","0.023","0.237072187265334","0.576071788073022","0.11077647218553"
"ibd1","0000","000","0","8","0.677538695315073","0.503864734299517","0.242676964497025","0.025296875","0.261145525293502","0.537241671900684","-0.0540438880510835"
"ibd1","0000","000","0","7.3","0.694899130676236","0.47875816993464","0.311979427554412","0.0184417808219178","0.334609928874049","0.80028286862172","0.180973069775676"
"ibd1","0000","000","0","8.4","0.736548650375727","0.577832512315271","0.220758462748344","0.0204315476190476","0.199048661207968","0.694686625270406","0.158336372688346"
"ibd1","0000","000","0","7.4","0.693056575097445","0.518167202572347","0.246629651723768","0.0264864864864865","0.274608079501371","0.648930635324715","0.142049458940177"
