"land","barr","mort","mcrun","A","He","Ho","Fis","Dps","Gst","Gstp","Djost"
"ibd1","0000","000","0","8","0.715310285208048","0.560956790123457","0.223687348295639","0.042125","0.127651499453323","0.506835321416792","0.110473016590179"
"ibd1","0000","000","0","8.4","0.676951440805348","0.510691823899371","0.238908861704112","0.0390922619047619","0.165131424782674","0.383648070564399","0.0703198537256909"
"ibd1","0000","000","0","8.5","0.619543203375991","0.48548644338118","0.191155589892511","0.0426911764705882","0.142620893239735","0.127892183548991","-0.0301309375828497"
"ibd1","0000","000","0","8.1","0.650062535954964","0.50849358974359","0.222066707337234","0.0456635802469136","0.126135639486447","0.346287768639903","0.0635419024105437"
"ibd1","0000","000","0","8.5","0.686958335688846","0.508721804511278","0.266274366891531","0.04","0.154945527507244","0.371862555883817","0.0752973351615309"
"ibd1","0000","000","0","7.9","0.658252969772457","0.511585365853659","0.22924042893012","0.0518354430379747","0.130239312035981","0.246272992109023","0.0506978574650259"
"ibd1","0000","000","0","8.6","0.624004128907967","0.458103975535168","0.259706315332027","0.0434738372093023","0.172315064321483","0.292463630945493","0.0545611162803188"
"ibd1","0000","000","0","8.7","0.726477982406563","0.543185298621746","0.254935750377254","0.0353735632183908","0.149499923077419","0.464778920511987","0.102919185701554"
"ibd1","0000","000","0","7.9","0.699425985970499","0.537083993660856","0.226124195469351","0.0384810126582278","0.144944903992345","0.373887767929695","0.0735731059517695"
"ibd1","0000","000","0","8.4","0.693183934866207","0.52373417721519","0.248484098234194","0.0380357142857143","0.173736245941433","0.367165236896829","0.0790145976783146"
