"land","barr","mort","mcrun","A","He","Ho","Fis","Dps","Gst","Gstp","Djost"
"ibd1","0000","000","0","9.2","0.716593200033375","0.61831869510665","0.138934407839365","0.0548233695652174","0.0876240197112644","0.329986103723295","0.0686381404608945"
"ibd1","0000","000","0","8.9","0.722747597009612","0.647547169811321","0.101383183327903","0.0663342696629213","0.0577286003101848","0.116978426242926","0.0206179550720044"
"ibd1","0000","000","0","9.3","0.643067872149167","0.565244667503137","0.122676622258984","0.0629704301075269","0.0821342819050299","0.132375542102411","0.0263017054287164"
"ibd1","0000","000","0","9.1","0.733341782726252","0.64760101010101","0.119709138693442","0.060206043956044","0.071449955385651","0.223195608033175","0.0487910158900229"
"ibd1","0000","000","0","8.4","0.666728610418892","0.591823899371069","0.10771690439325","0.0721577380952381","0.0619414650910796","0.174014296168252","0.025856415560788"
"ibd1","0000","000","0","9.1","0.742985814752153","0.666834170854271","0.102467322177477","0.0664423076923077","0.0548077115968421","0.23075790857649","0.0510355383607392"
"ibd1","0000","000","0","8.5","0.684909391422135","0.590372272143774","0.133833747559579","0.0644558823529412","0.0883114159917235","0.183222480936199","0.0378389311344008"
"ibd1","0000","000","0","9.2","0.66997605805409","0.580527638190955","0.128845746944246","0.0664945652173913","0.066747688165232","0.108756629328676","0.0204892526345516"
"ibd1","0000","000","0","9.2","0.771639453244567","0.67739898989899","0.122053219446919","0.0531385869565217","0.0787679683825401","0.409596411028719","0.0921242799000861"
"ibd1","0000","000","0","9.2","0.750844843939422","0.646240601503759","0.140240559769203","0.0539538043478261","0.0817208201258365","0.285375847881305","0.0601939745177535"
