"land","barr","mort","mcrun","A","He","Ho","Fis","Dps","Gst","Gstp","Djost"
"ibd1","0000","000","0","8.7","0.682290999038616","0.584651898734177","0.142780630207212","0.0491235632183908","0.096242860259129","0.310097113629807","0.0645318350116059"
"ibd1","0000","000","0","8.3","0.709097410011418","0.592093023255814","0.160892097082888","0.0491265060240964","0.0882921027562636","0.10706337771544","0.0213058726531989"
"ibd1","0000","000","0","7.6","0.695917090427808","0.584542586750789","0.158040613149927","0.0492763157894737","0.122048717946504","0.352865857109171","0.0750653771377297"
"ibd1","0000","000","0","8.6","0.67574285276559","0.573692551505547","0.14407507371339","0.0478343023255814","0.114900927107011","0.295102552698116","0.0585237295932413"
"ibd1","0000","000","0","8.5","0.728471726458746","0.631937984496124","0.135237803178975","0.0524264705882353","0.0658667425368206","0.297420973579087","0.0642736227247135"
"ibd1","0000","000","0","8.3","0.748110379870673","0.628593996840442","0.161286831846933","0.0435692771084337","0.107880940161313","0.461233121431521","0.102872970903949"
"ibd1","0000","000","0","8.7","0.694797321594643","0.59496062992126","0.139607903319791","0.0485488505747126","0.0794655872818234","0.17073056546196","0.0309860354576308"
"ibd1","0000","000","0","8.1","0.648881029684601","0.568668831168831","0.121454327864911","0.0552623456790124","0.0771162641180889","0.208465217287527","0.0402580400617543"
"ibd1","0000","000","0","7.7","0.580185353798127","0.522903225806452","0.114366289291428","0.0638961038961039","0.0631321415062343","0.0930627438045868","0.0123767738775456"
"ibd1","0000","000","0","7.7","0.713426758599205","0.602340093603744","0.154770174509715","0.0558928571428571","0.0832005859645382","0.208896045948161","0.0423885290875809"
