"land","barr","mort","mcrun","A","He","Ho","Fis","Dps","Gst","Gstp","Djost"
"ibd1","0000","000","0","7.4","0.652799669056234","0.455606407322654","0.304009551025239","0.018597972972973","0.313352606704211","0.764950707479248","0.168351896929582"
"ibd1","0000","000","0","7.3","0.634799238941795","0.450776053215078","0.290657178403925","0.0182191780821918","0.270583245680136","0.630175455163171","0.0570219936918364"
"ibd1","0000","000","0","6.9","0.679284607438017","0.393181818181818","0.444669671957258","0.0107427536231884","0.465393444897677","0.976752724161692","0.240273380807673"
"ibd1","0000","000","0","6.8","0.595779022115271","0.438095238095238","0.239263690224239","0.0262683823529412","0.320658095887925","0.685884087023427","-2.91460415676996"
"ibd1","0000","000","0","7.4","0.674481198519131","0.391304347826087","0.425773350458125","0.0064527027027027","0.471086840523128","0.932296331487569","0.227247521068266"
"ibd1","0000","000","0","6.9","0.599117628320839","0.385253456221198","0.330046649029454","0.022518115942029","0.357557692373745","0.674694148667458","0.133081356075673"
"ibd1","0000","000","0","6.9","0.621208841663387","0.438528138528139","0.289145122174202","0.0229166666666667","0.269827947574945","0.375096381350865","0.0716096249175793"
"ibd1","0000","000","0","7","0.560153610695932","0.435067873303167","0.194399507191662","0.0308392857142857","0.260405513418059","0.4377780552822","0.0646725252161403"
"ibd1","0000","000","0","7.1","0.686743285123967","0.488636363636364","0.275527168821428","0.0132394366197183","0.310108764283932","0.464111623694936","0.0831659367511998"
"ibd1","0000","000","0","6.8","0.630820823288772","0.426709401709402","0.337345686664825","0.0215992647058824","0.267303101942652","0.533547106076729","0.105469637419663"
