"land","barr","mort","mcrun","A","He","Ho","Fis","Dps","Gst","Gstp","Djost"
"ibd1","0000","000","0","8.4","0.662926919077588","0.623188405797101","0.0574548180007307","0.0596726190476191","0.0258639638762566","0.0745280548520553","0.0415585500691"
"ibd1","0000","000","0","8.4","0.592475311043493","0.552969502407705","0.0655414307906114","0.0620684523809524","0.0287853344385555","0.0408847942360408","-0.0194388435447547"
"ibd1","0000","000","0","8","0.664902814162738","0.61585557299843","0.0758597429490347","0.0664375","0.0510160940303924","0.131531570329746","0.0271519337122869"
"ibd1","0000","000","0","9.1","0.658863901262732","0.618136439267887","0.0648669250219203","0.0511126373626374","0.0387238554130214","0.100295114062717","-0.0283783267985214"
"ibd1","0000","000","0","8.2","0.6791429075228","0.646054750402577","0.0504032716484776","0.0603963414634146","0.0287365408028198","0.0412059123805373","0.0130567870444723"
"ibd1","0000","000","0","7.8","0.684831915087833","0.643949044585987","0.0591222039281794","0.062051282051282","0.0533489114033432","0.00799973340337876","0.00923198502321366"
"ibd1","0000","000","0","8.2","0.702618791870803","0.650409165302782","0.0749178642702616","0.055594512195122","0.0594602463986967","0.210092885497923","0.106760625390004"
"ibd1","0000","000","0","8.6","0.685778527695595","0.626442307692308","0.0916053147956543","0.0526744186046512","0.0475151406087436","0.182521142232601","0.617021794350634"
"ibd1","0000","000","0","7.7","0.571002963716305","0.534455128205128","0.0575012850900089","0.0655519480519481","0.0347685934487517","0.0598798250415478","-0.320877906095393"
"ibd1","0000","000","0","7.8","0.676110397911244","0.629324546952224","0.0647751052583319","0.0600801282051282","0.0460980234085844","0.0447071713070691","0.0115689347603277"
