"land","barr","mort","mcrun","A","He","Ho","Fis","Dps","Gst","Gstp","Djost"
"ibd1","0000","000","0","8.7","0.63219546875","0.604625","0.0459024191144171","0.0967528735632184","0.0116123094419904","0.0165030919200776","0.00331817077365742"
"ibd1","0000","000","0","9.1","0.746106640625","0.723875","0.0297277684520417","0.0855082417582418","0.0147260036017307","0.0732056795844358","0.0165005535624107"
"ibd1","0000","000","0","9.1","0.7609996875","0.733125","0.0372993353135578","0.0884615384615385","0.0101401220312152","0.0288689470506173","0.00744312690850745"
"ibd1","0000","000","0","9","0.698944765625","0.67325","0.0365922672410909","0.0905138888888889","0.010208979520662","0.035286219556505","0.00784810253844673"
"ibd1","0000","000","0","8.4","0.736324453125","0.696125","0.0551706239300483","0.0917559523809524","0.0211070998633832","0.058517292329678","0.0134988806413107"
"ibd1","0000","000","0","8.8","0.730223828125","0.7055","0.033088056660872","0.0879261363636364","0.0187818789124459","0.0369491296711896","0.00999608835181269"
"ibd1","0000","000","0","8.7","0.717224921875","0.687875","0.0424151923871424","0.0868534482758621","0.0184874493956328","0.0763533656844109","0.0165423073916489"
"ibd1","0000","000","0","8.7","0.68731828125","0.643875","0.0634748387622243","0.0847270114942529","0.0251152261250602","0.0816478456031105","0.0169748482173917"
"ibd1","0000","000","0","9.1","0.7392234375","0.699125","0.054972132280559","0.0814835164835165","0.0224324908976101","0.0819610605284782","0.0194749321111825"
"ibd1","0000","000","0","9.4","0.7294465625","0.700875","0.0390805292633965","0.0786968085106383","0.0242318014961376","0.0882146717382327","0.0195336791873803"
