"land","barr","mort","mcrun","A","He","Ho","Fis","Dps","Gst","Gstp","Djost"
"ibd1","0000","000","0","7.1","0.671120151933141","0.422770700636943","0.365548511923867","0.0202112676056338","0.334364039015893","0.402817376483978","0.0795274026838848"
"ibd1","0000","000","0","8.1","0.69926408447244","0.494200626959248","0.289471414920045","0.0237654320987654","0.277063983596746","0.639241828393456","0.132354027823646"
"ibd1","0000","000","0","8.4","0.7234310909549","0.536507936507936","0.256084921177039","0.026235119047619","0.224728497898677","0.685828596401461","0.152089596076845"
"ibd1","0000","000","0","8.3","0.706878734093151","0.535548686244204","0.250921757280853","0.0332228915662651","0.188138609928122","0.595892720597711","0.132988172590919"
"ibd1","0000","000","0","8.2","0.70821226502072","0.503426791277259","0.288513954338762","0.0285213414634146","0.246935349483267","0.562498069866218","0.122603117593295"
"ibd1","0000","000","0","7.9","0.613612476966832","0.472626582278481","0.211502221235946","0.0388132911392405","0.197930726053751","0.129278126742074","0.0188149082680074"
"ibd1","0000","000","0","8.5","0.670945399452246","0.52","0.216467416416743","0.0391764705882353","0.166628747196994","0.158724857305633","0.0267797089394069"
"ibd1","0000","000","0","8.3","0.694793434577208","0.519092331768388","0.251077563277321","0.0327861445783133","0.202406143327203","0.556946573156363","0.120814570562713"
"ibd1","0000","000","0","8.2","0.616778035370934","0.45870253164557","0.244917686155476","0.0319664634146341","0.175954152087249","0.164193093194004","0.0194290108801744"
"ibd1","0000","000","0","7.8","0.661160290707274","0.424332810047096","0.378298891385979","0.0252564102564103","0.319261935783973","0.463644434411227","0.100354284004691"
