"land","barr","mort","mcrun","A","He","Ho","Fis","Dps","Gst","Gstp","Djost"
"ibd1","0000","000","0","7","0.659573094954904","0.458891454965358","0.311739230887082","0.0147142857142857","0.323964955750713","0.73512888346811","0.160934711111526"
"ibd1","0000","000","0","7.4","0.606153549382716","0.458564814814815","0.236435032805641","0.0219932432432432","0.227577603393326","0.699378483089368","-0.0778052129518402"
"ibd1","0000","000","0","6.8","0.65295743167194","0.420506912442396","0.358426326879706","0.0175183823529412","0.392842469400571","0.842462987267785","0.19356478430592"
"ibd1","0000","000","0","6.9","0.671451446280992","0.454318181818182","0.331915440957436","0.0127717391304348","0.314824059589511","0.741061290381184","0.162450739473722"
"ibd1","0000","000","0","7.5","0.699829303738935","0.470804597701149","0.331389843775854","0.0158","0.298804062712649","0.735201714248131","0.167637740201564"
"ibd1","0000","000","0","7.3","0.666162435125545","0.460402684563758","0.322329716601311","0.0177739726027397","0.313488122289573","0.813445457918705","0.182344234748626"
"ibd1","0000","000","0","7","0.54909301193085","0.389189189189189","0.282793636625146","0.0248392857142857","0.302425335870441","0.560907979849808","0.188833186140425"
"ibd1","0000","000","0","6.9","0.659078765432099","0.42","0.365768244695048","0.0138768115942029","0.377309567492806","0.679898759844113","0.141822409057287"
"ibd1","0000","000","0","7.2","0.609637702397664","0.382539682539683","0.37660076324951","0.0199652777777778","0.385694639775998","0.739782124905445","0.155448687479451"
"ibd1","0000","000","0","7","0.61905442841199","0.380133928571429","0.399685565220257","0.0152142857142857","0.377760001834764","0.720212432145456","0.145312798708876"
