"land","barr","mort","mcrun","A","He","Ho","Fis","Dps","Gst","Gstp","Djost"
"ibd1","0000","000","0","7.5","0.669639024492888","0.492201834862385","0.272296295436613","0.0206","0.277453258861477","0.73344638486129","0.160748265799825"
"ibd1","0000","000","0","7.3","0.688512345679012","0.445333333333333","0.375025878123016","0.0107876712328767","0.383080046189993","0.839203925380172","0.197076520576848"
"ibd1","0000","000","0","7.5","0.712131835903288","0.496196868008949","0.320843624666014","0.01315","0.3165107271062","0.782502117819192","0.183555481070133"
"ibd1","0000","000","0","7.2","0.678363516825055","0.456643356643357","0.315300595452637","0.0163541666666667","0.313960753985867","0.135191849882503","0.0214466634152153"
"ibd1","0000","000","0","6.7","0.639180324756385","0.395642701525054","0.391072608417382","0.013339552238806","0.415065657226597","0.673413319346599","0.146368415179457"
"ibd1","0000","000","0","7.7","0.661652777777778","0.45452380952381","0.313414354646179","0.0134577922077922","0.314020292769636","0.823553357231706","-0.282914727221122"
"ibd1","0000","000","0","7.6","0.6283125","0.376136363636364","0.409693254698248","0.0100986842105263","0.374989240913235","0.755684092779105","0.163971410269313"
"ibd1","0000","000","0","7.6","0.670925172750574","0.462312633832976","0.325966250336671","0.0186677631578947","0.318433125682759","0.767170443453627","0.173901292793478"
"ibd1","0000","000","0","7.1","0.675670396765967","0.45720823798627","0.332370210475043","0.0166549295774648","0.356193061138376","0.82133036451039","0.19084260863468"
"ibd1","0000","000","0","7.7","0.642479893732641","0.490549450549451","0.219175330617891","0.0191558441558442","0.268147473585314","0.661916526242038","-0.0216447142627516"
