"","Value","Std.Error","DF","t-value","p-value"
"(Intercept)",0.616382834711553,0.00597833076051076,2877,103.102832446643,0
"barr",-0.0352873493851649,0.00472996943179053,78,-7.4603757791743,1.03613099459997e-10
"mort",-0.0107125571281703,0.00474137496512776,78,-2.25937775581131,0.0266512168056744
