"","Value","Std.Error","DF","t-value","p-value"
"(Intercept)",5.31102476204469,0.100789240644164,2877,52.6943622960235,0
"barr",-0.308122495966396,0.0405433751994554,78,-7.59982350878708,5.58405204117789e-11
"mort",-0.111556685521373,0.0406670925171447,78,-2.74316845922394,0.00754580152388728
