"","Value","Std.Error","DF","t-value","p-value"
"(Intercept)",0.577830931589407,0.00913250457130801,2877,63.2719017086292,0
"barr",-0.0461006443901283,0.00516005971031127,78,-8.93413002527976,1.44838306833333e-13
"mort",-0.0458926008584123,0.00516664410705329,78,-8.88247766006596,1.82443279716165e-13
