"","land","adj_r2","(Intercept)","barr","mort"
"1","pan0",0.074743722647544,0.674695626955128,0.000397912365826489,-0.040039495734838
"2","ibd1",-0.00806043376802434,0.707699006080619,0.00384837670562108,0.003891697325519
"3","ibr20",0.0528353712132646,0.707195768575737,0.00762011645492902,0.0103837934335883
"4","ibr21",-0.00135502096186624,0.711450160764654,0.00472454570401706,0.00048996138861363
"5","ibr22",0.0161280366809864,0.704946340884833,0.00332852588368336,-0.00344353151551003
"6","ibr23",0.01415782999232,0.709059604454636,0.00774477049471087,0.00469360989153286
"7","ibr24",0.00976811197743677,0.705420816463992,0.00243945886240013,0.00675894520787822
"8","ibr25",0.0097417702969399,0.696558266064618,0.000547201663208552,-0.00573030002799135
"9","ibr26",0.0169425330324795,0.705890495983913,0.00144833907315933,-0.00563185610610478
"10","ibr27",0.0470619736335387,0.701659487040645,0.0102237035038453,0.00285311938114928
"11","ibr28",0.0597462695679747,0.707876632451383,0.00618419734813329,-0.00206114034716754
"12","ibr29",-0.0140330839883269,0.702392869749688,0.00013345527566259,-0.0029697885525655
"13","ibr40",-0.00959439932162254,0.665189852255927,0.00205224113668275,-0.00311404223794353
"14","ibr41",0.0207381551275057,0.663347661063441,0.00544874973802996,-0.0043081495168986
"15","ibr42",0.017437067616661,0.670985978667688,0.0091069690842848,0.00464825836106496
"16","ibr43",-0.00431582262218333,0.63688555881635,-0.00680514774803232,-0.00628492065440801
"17","ibr44",0.00808798383943754,0.689346257483714,-0.00213836904555616,-0.0075889106242925
"18","ibr45",0.0975618533287681,0.665482604334451,0.0165981730435613,0.00625195074040453
"19","ibr46",0.00969758144694632,0.660272238887874,0.00509235669102969,-0.00225562096604662
"20","ibr47",0.069961700903268,0.664653996311784,0.0125441024044867,0.00228057478863589
"21","ibr48",-0.0178826094243514,0.677087018139234,0.00214736561762348,0.00312912299417928
"22","ibr49",-0.0229560259787585,0.671550112995651,-0.000000976469321730574,0.000199243794537453
