"","type","barr","mort","A","He","Ho","Fis","Dps","Gst","Gstp","Djost"
"46","ibr2",3000,0,8.9,0.7158942975,0.5626888595,0.211809647,0.038525819,0.1649971955,0.4381160685,0.0934279085
"47","ibr2",3000,25,8.85,0.714873412,0.5568116045,0.2141208855,0.0387502925,0.1628915985,0.4418416905,0.0914231985
"48","ibr2",3000,50,8.9,0.7122308555,0.558084133,0.212803401,0.0387962795,0.1662193655,0.437817675,0.093141678
"49","ibr2",3000,75,9,0.7218411395,0.567229584,0.2171733965,0.0374639515,0.166907858,0.4924718785,0.103376956
"50","ibr2",3000,100,8.9,0.7188895315,0.5629454415,0.2139316645,0.038722675,0.166950361,0.448257394,0.0960334005
"51","ibr4",0,0,8.3,0.669685203,0.588714114,0.113897698,0.0668490075,0.0321337175,0.088817384,0.0188999185
"52","ibr4",0,25,8.2,0.6679493785,0.583575755,0.1162804885,0.0641645165,0.037273139,0.0906873915,0.0163769825
"53","ibr4",0,50,8.05,0.670234467,0.574542636,0.1255004765,0.062410674,0.049180996,0.1176653325,0.0178966125
"54","ibr4",0,75,8,0.660005553,0.5512412045,0.149558067,0.058277444,0.0775149645,0.170300607,0.027054887
"55","ibr4",0,100,7.9,0.669323096,0.473114985,0.2928534125,0.0262233025,0.2517169625,0.537724136,0.0939774845
"56","ibr4",750,0,8.2,0.664653249,0.58336618,0.1113841535,0.0658526105,0.03676695,0.0911863915,0.016017862
"57","ibr4",750,25,8.2,0.6684065265,0.5821629055,0.1203063185,0.0650966365,0.0419023135,0.0989761975,0.0186131585
"58","ibr4",750,50,8.25,0.6768532345,0.5880605115,0.124058959,0.061205003,0.048022693,0.1305395895,0.0208026855
"59","ibr4",750,75,8.1,0.6742861745,0.5618751935,0.146299889,0.055118671,0.0699959275,0.16451374,0.0309173495
"60","ibr4",750,100,8.1,0.6791736915,0.4777494535,0.289373664,0.02696875,0.238583303,0.52652594,0.106232804
"61","ibr4",1500,0,8.2,0.6693418475,0.5804813395,0.122494027,0.062206188,0.0463719965,0.1123371575,0.022854761
"62","ibr4",1500,25,8.2,0.6736706485,0.5795310235,0.1354239295,0.060898146,0.0552927875,0.13337793,0.0213912975
"63","ibr4",1500,50,8.2,0.6643597175,0.570698052,0.1439905305,0.056128508,0.0696488155,0.1687947055,0.0300796765
"64","ibr4",1500,75,8.2,0.6715089945,0.5493880865,0.173260587,0.051625,0.0946281465,0.2335250605,0.0423132575
"65","ibr4",1500,100,8.2,0.6848928385,0.4864886245,0.2788275975,0.0278906035,0.2233586425,0.5314967845,0.1024614205
"66","ibr4",2250,0,8.2,0.67837374,0.5453418525,0.193229421,0.0477473195,0.112976873,0.282745851,0.0526496525
"67","ibr4",2250,25,8.2,0.6756028885,0.54200513,0.188159171,0.046603288,0.1221999695,0.263859759,0.048343477
"68","ibr4",2250,50,8.2,0.67848083,0.5231151625,0.2181390405,0.041954116,0.1484265875,0.341930182,0.064339648
"69","ibr4",2250,75,8.1,0.6844203235,0.5196603215,0.235412555,0.0352504595,0.178521791,0.475467575,0.0934541195
"70","ibr4",2250,100,8.15,0.685699706,0.4823807695,0.2783487045,0.0296291295,0.227507779,0.5113929215,0.1045644815
"71","ibr4",3000,0,8.2,0.6807084235,0.488954252,0.2805572615,0.026746624,0.226150158,0.4929606025,0.085281404
"72","ibr4",3000,25,8.2,0.684625485,0.4877565975,0.278798464,0.027430781,0.229968483,0.5524660845,0.095134831
"73","ibr4",3000,50,8.2,0.6826542665,0.488825157,0.273175836,0.0291463665,0.218210274,0.5426588525,0.1028099925
