"","land","adj_r2","(Intercept)","barr","mort"
"1","pan0",0.309466379228157,0.645108679487179,-0.0329141693073147,-0.0780796293840819
"2","ibd1",0.470948738846438,0.645244736280916,-0.0379018237003845,-0.039007763459162
"3","ibr20",0.416654325068828,0.618885605813078,-0.0367637536998466,-0.0319176197791431
"4","ibr21",0.473896003089727,0.624520596840714,-0.0384670923602187,-0.0376093802320915
"5","ibr22",0.427717115454315,0.623532332483854,-0.0363877553536394,-0.0389308823591426
"6","ibr23",0.370272039595041,0.599185555109292,-0.0348417253769291,-0.0313681427330177
"7","ibr24",0.483473148123098,0.617889019485045,-0.0379421212501902,-0.0314398672018801
"8","ibr25",0.479625064153225,0.620216180138975,-0.0408862644087746,-0.0440693206892669
"9","ibr26",0.443985304343404,0.61922380422518,-0.0395997616625117,-0.0406530053620721
"10","ibr27",0.40483358398265,0.623303200523202,-0.0320046841943099,-0.0387180665727099
"11","ibr28",0.540935952062364,0.617637557443074,-0.0369747693421363,-0.04322027740335
"12","ibr29",0.488296034609287,0.611854783962174,-0.0452247359034224,-0.04067007953648
"13","ibr40",0.431373584743791,0.556330647416203,-0.0429563245838385,-0.0396274601850521
"14","ibr41",0.473193678344741,0.560063878229276,-0.0433995962336533,-0.0481268677517191
"15","ibr42",0.340846055866196,0.56915577048078,-0.0366819582216568,-0.0332436356467313
"16","ibr43",0.0137058754597337,0.420562659350115,-0.00704355753785348,-0.00960195331973457
"17","ibr44",0.393610403005374,0.534493599880855,-0.0360500364431336,-0.040555927452676
"18","ibr45",0.407230058558326,0.580499327819988,-0.0372822156291642,-0.0430010264181017
"19","ibr46",0.481111080680553,0.561696558119599,-0.0419150373699457,-0.0500994481519098
"20","ibr47",0.415381288808754,0.597366664720904,-0.0383083283867783,-0.045364888568817
"21","ibr48",0.639742402943503,0.539066927074612,-0.0495870975109268,-0.0438678005194916
"22","ibr49",0.445621595934921,0.527229166645481,-0.0382034604060471,-0.0390311500742397
