"","land","adj_r2","(Intercept)","barr","mort"
"1","pan0",0.493882852533163,0.0414356463515445,0.0469104908974032,0.053175400343809
"2","ibd1",0.637655980250654,0.0874308069182564,0.0573607416808084,0.0594018500253889
"3","ibr20",0.712169928088349,0.124324556019118,0.0612703685351312,0.0581300112054275
"4","ibr21",0.675985404703471,0.121582905521753,0.0601099115646111,0.0528623490622927
"5","ibr22",0.682580730051429,0.11505009226052,0.0548242489957612,0.0514218436499718
"6","ibr23",0.700746032666979,0.153915873011873,0.0592477122990763,0.0508225093715878
"7","ibr24",0.695688267479876,0.123358097711798,0.0572377487634484,0.052616554470422
"8","ibr25",0.630571447903987,0.109104363710318,0.0587987322073652,0.0548704771032376
"9","ibr26",0.68266000613095,0.122018564557528,0.0574623382762329,0.0500266481902914
"10","ibr27",0.631735356743124,0.110467929093944,0.0576967009542348,0.058546695413068
"11","ibr28",0.691715776291806,0.12679839843871,0.0593983142955444,0.0583710105034741
"12","ibr29",0.688138283410425,0.128465752125744,0.0642592108039493,0.0533030486210035
"13","ibr40",0.659290956332007,0.161396179326335,0.0643296716127536,0.0539412239041334
"14","ibr41",0.635658109531857,0.154274654270246,0.0715829021039831,0.0668262779918437
"15","ibr42",0.612843139457533,0.149318778384297,0.0646152844493506,0.0539478466974217
"16","ibr43",-0.00815618535493368,0.336079507131748,0.00119203583739524,0.007341654344178
"17","ibr44",0.498866589651393,0.223826652274715,0.0495695710518628,0.0499749849182394
"18","ibr45",0.622757008645646,0.125173358865751,0.0758689130424439,0.0713585746526708
"19","ibr46",0.669725091430217,0.147066344583737,0.0684085605743602,0.0718629678184123
"20","ibr47",0.616968839087685,0.0986753809818067,0.0717600403950251,0.0684856993575002
"21","ibr48",0.671273672745782,0.201461870978488,0.0735596476718162,0.0665705722816948
"22","ibr49",0.633090804627504,0.213496544964731,0.0568129622750763,0.0585443330887989
