"","land","predictor","coefficient","SE","t_val","p_val","adj_r2"
"1","pan0","(Intercept)","8.75630769230769","0.100960861219158","86.7297246335899","3.14124473030374e-62","0.0462508080757275"
"2","pan0","barr","-0.00726782651003324","0.0401020819783889","-0.181233146796465","0.856827487173168","0.0462508080757275"
"3","pan0","mort","-0.316228248610052","0.158624529282151","-1.99356461476122","0.0509929211948513","0.0462508080757275"
"4","ibd1","(Intercept)","8.89942564102564","0.0310594907088225","286.528382723859","3.21107376935802e-131","-0.012344324422856"
"5","ibd1","barr","0.0159892183220747","0.0385280998140984","0.415001476824037","0.679162457207637","-0.012344324422856"
"6","ibd1","mort","-0.0172488135605476","0.0380996534072757","-0.452728883808","0.651870958809299","-0.012344324422856"
"7","ibr20","(Intercept)","8.82407692307692","0.034768733840787","253.793450272999","1.21621653633846e-126","-0.00395321204759358"
"8","ibr20","barr","0.0308709583188101","0.0431292728005727","0.715777390023608","0.476045568732883","-0.00395321204759358"
"9","ibr20","mort","-0.0188231100363121","0.0426496596857438","-0.44134256111319","0.66005994917209","-0.00395321204759358"
"10","ibr21","(Intercept)","8.8809641025641","0.0306479143393694","289.773849020319","1.20649818196743e-131","0.0993024957249136"
"11","ibr21","barr","0.0244337405527803","0.0380175552081976","0.642696260161192","0.522111395750464","0.0993024957249136"
"12","ibr21","mort","-0.0884343933342393","0.0375947862420735","-2.35230472557574","0.0209143852887758","0.0993024957249136"
"13","ibr22","(Intercept)","8.84419487179487","0.0333781199265046","264.969833270086","2.87605900546123e-128","0.0878580517827925"
"14","ibr22","barr","0.0568966989642637","0.0414042698958365","1.37417467105211","0.172917321451029","0.0878580517827925"
"15","ibr22","mort","-0.0644777078334779","0.0409438394372989","-1.57478411208159","0.11893594257795","0.0878580517827925"
"16","ibr23","(Intercept)","8.82568205128205","0.0329854089028004","267.563214913876","1.2337754234523e-128","0.0174312724047311"
"17","ibr23","barr","-0.0114900876253855","0.0409171270234302","-0.280813646051102","0.779520063186101","0.0174312724047311"
"18","ibr23","mort","-0.0679000914764433","0.0404621137698495","-1.67811528242598","0.0969135225357209","0.0174312724047311"
"19","ibr24","(Intercept)","8.79403076923076","0.0321386256650666","273.628090413012","1.75933374641752e-129","-0.00904482221693326"
"20","ibr24","barr","-0.00706017432403164","0.0398667250896005","-0.177094414155261","0.859845871287233","-0.00904482221693326"
"21","ibr24","mort","-0.0386044874926547","0.0394233926854891","-0.979227937093911","0.330182555188474","-0.00904482221693326"
"22","ibr25","(Intercept)","8.81274871794872","0.0296276793737398","297.449847717733","1.24355453538894e-132","-0.00742336892337891"
"23","ibr25","barr","-0.0274793059474605","0.0367519930984349","-0.747695665752362","0.456660013496607","-0.00742336892337891"
"24","ibr25","mort","-0.0420268711356217","0.036343297640767","-1.15638573997972","0.250688954613486","-0.00742336892337891"
"25","ibr26","(Intercept)","8.8876358974359","0.0337265284976344","263.520625849745","4.63192045028983e-128","-0.0214190843315452"
"26","ibr26","barr","0.0125283485553914","0.0418364572852055","0.299460073064594","0.765303276556581","-0.0214190843315452"
"27","ibr26","mort","0.0143055636275978","0.0413712207465617","0.345785388234809","0.730338762527034","-0.0214190843315452"
"28","ibr27","(Intercept)","8.8622","0.0321864752149981","275.339251682658","1.02345530435751e-129","0.0980017786939089"
"29","ibr27","barr","0.00927513097470948","0.0399260806100468","0.232307575223788","0.816844728869089","0.0980017786939089"
"30","ibr27","mort","-0.103424433690431","0.0394820881510773","-2.6195279564414","0.0103878399998482","0.0980017786939089"
"31","ibr28","(Intercept)","8.84574358974358","0.0359924981108905","245.766313927153","1.98467267828467e-125","0.0142329055716527"
"32","ibr28","barr","-0.00955200055604286","0.0446473051594898","-0.213943496072631","0.831091734998403","0.0142329055716527"
"33","ibr28","mort","-0.0698166263165039","0.0441508109757071","-1.58132149271094","0.117433450223187","0.0142329055716527"
"34","ibr29","(Intercept)","8.83671794871795","0.0370247118051101","238.670809788675","2.52914098111193e-124","0.00994892598830266"
"35","ibr29","barr","-0.0305940887374746","0.0459277264198768","-0.666135494228034","0.507087025557453","0.00994892598830266"
"36","ibr29","mort","-0.0752924401452504","0.0454169934885079","-1.65780326617838","0.100958894596244","0.00994892598830266"
"37","ibr40","(Intercept)","8.1648358974359","0.0415098896574305","196.696159995076","4.98679066396054e-117","-0.0199630647082227"
"38","ibr40","barr","-0.00989808753271274","0.0514914164880175","-0.192227913073942","0.848011665567568","-0.0199630647082227"
"39","ibr40","mort","-0.0251202959393703","0.0509188133105198","-0.49334016851843","0.623015295807505","-0.0199630647082227"
"40","ibr41","(Intercept)","8.14018974358974","0.0401365681702578","202.812300968517","3.49421147337186e-118","0.120851752207392"
"41","ibr41","barr","-0.114139484905194","0.0497878641718939","-2.29251619453135","0.0242886409800098","0.120851752207392"
"42","ibr41","mort","-0.185698536467331","0.0492342051123828","-3.77173828730356","0.000295076254525518","0.120851752207392"
"43","ibr42","(Intercept)","8.22737948717949","0.0397490219373634","206.98319320018","5.96723860385233e-119","0.045326731538804"
"44","ibr42","barr","0.0490751332915608","0.0493071280232071","0.995294904794758","0.322353066289083","0.045326731538804"
"45","ibr42","mort","-0.0616713532462459","0.0487588149235676","-1.26482469565594","0.209311753651979","0.045326731538804"
"46","ibr43","(Intercept)","7.02517948717949","0.0404459938322882","173.692838808952","2.42775113343467e-112","-0.0113420685919206"
"47","ibr43","barr","0.0445067851995393","0.0501716947666551","0.887089531388906","0.377476434843305","-0.0113420685919206"
"48","ibr43","mort","0.0444909873585571","0.0496137673720861","0.896746804669964","0.372328770359447","-0.0113420685919206"
"49","ibr44","(Intercept)","8.35802051282051","0.0415664194642132","201.076268308758","7.37017587593659e-118","0.157665346107863"
"50","ibr44","barr","-0.026094958040787","0.0515615395321657","-0.506093461862368","0.614071081160706","0.157665346107863"
"51","ibr44","mort","-0.192064170043248","0.0509881565610512","-3.76683886998891","0.000300091850120784","0.157665346107863"
"52","ibr45","(Intercept)","8.21841025641025","0.0399700335381671","205.614294733142","1.06165248234898e-118","0.13559496858156"
