"","land","adj_r2","(Intercept)","barr","mort"
"1","pan0",-0.113465574133746,0.702875,-0.0000172499999999999,-0.00330999999999999
"2","ibd1",0.468313015921733,0.704250688368186,-0.0000347832903892437,-0.00108254723220165
"3","ibr20",0.418457392422179,0.674818198735573,-0.0000335975287036928,-0.000893843214004853
"4","ibr21",0.472935649473638,0.686917953671237,-0.0000355116247552281,-0.00105127584472796
"5","ibr22",0.425275007321301,0.685203174215452,-0.000033427708809925,-0.00108530862268396
"6","ibr23",0.365037398226783,0.65308598624656,-0.0000316920512137382,-0.000877233945040719
"7","ibr24",0.485251359593973,0.672570787989764,-0.0000351290957189647,-0.000876759030324076
"8","ibr25",0.485917091234151,0.689531388060526,-0.0000380053195498917,-0.00124530373003365
"9","ibr26",0.44110590743312,0.68327651115831,-0.0000360530585984298,-0.00113732220728809
"10","ibr27",0.402045468007528,0.681955838915647,-0.0000294933140880892,-0.00107938274950594
"11","ibr28",0.544954143673454,0.682325156006711,-0.0000342390336641678,-0.00120936478487359
"12","ibr29",0.489311347835032,0.681302828940232,-0.0000418111437394431,-0.0011449576031322
"13","ibr40",0.415904114337914,0.636826292520862,-0.0000395625249088864,-0.00109744483779152
"14","ibr41",0.470516193667953,0.64298743328725,-0.0000398812619555436,-0.0013603910943539
"15","ibr42",0.37253979272935,0.640066424482351,-0.0000351461399340648,-0.000988455116960435
"16","ibr43",0.0173463342231206,0.451193313491434,-0.00000695232180006366,-0.000293955998485434
"17","ibr44",0.369212964548134,0.603606057005902,-0.0000315852714154083,-0.00108275793645138
"18","ibr45",0.36706283110252,0.652441750511494,-0.0000317980188590059,-0.00112231285484441
"19","ibr46",0.476102411899362,0.642440514313786,-0.0000388112828466933,-0.0013916969577613
"20","ibr47",0.414991407980718,0.666673878317305,-0.0000346784230380184,-0.00126702568216509
"21","ibr48",0.624576996166365,0.624043749000674,-0.0000453485674328592,-0.00119404767803674
"22","ibr49",0.423534676650901,0.596273713304401,-0.0000343071056267614,-0.00107991368487238
