"","land","adj_r2","(Intercept)","barr","mort"
"1","pan0",0.39375,9.48125,-0.000641666666666666,-0.01925
"2","ibd1",0.606023756060189,6.70962961019509,-0.000454990460184052,-0.012070440864794
"3","ibr20",0.578033943635593,5.93635772302441,-0.000389075094562148,-0.0100970750401436
"4","ibr21",0.595925428419677,6.09077644986171,-0.000404949954205889,-0.0104200123433742
"5","ibr22",0.52821672585948,6.05331103472977,-0.00038085801472154,-0.0106767094945977
"6","ibr23",0.522826021506727,5.43544690149402,-0.000344543014003588,-0.00869426506074983
"7","ibr24",0.579166559567938,5.7847518234036,-0.000374450764409149,-0.00916126007948825
"8","ibr25",0.627636163315642,6.26445594291789,-0.000448453680539222,-0.011580044194572
"9","ibr26",0.54103321698501,5.98984876526891,-0.000405821000161796,-0.0105668747890163
"10","ibr27",0.589134319479774,6.23907050084937,-0.000385014833613536,-0.0113279229356701
"11","ibr28",0.597915902052985,5.84943553666867,-0.000397273878794892,-0.0110192612935503
"12","ibr29",0.629487660729344,5.88984859897155,-0.000435786618612527,-0.0108854402474483
"13","ibr40",0.447083618260833,5.4122192733726,-0.00034345775739339,-0.00816795621964704
"14","ibr41",0.596867234349741,5.62657949955465,-0.000457496838270336,-0.0121484283795996
"15","ibr42",0.488523308542918,5.52925887285726,-0.000357768379027531,-0.00891990034116246
"16","ibr43",-0.0153159808548631,3.62778416763205,-0.0000209523664286867,-0.000135434016048767
"17","ibr44",0.45527648992535,4.85690296020588,-0.000304790882387174,-0.00853780684218428
"18","ibr45",0.528674519563427,6.0210671271483,-0.000408397221413991,-0.0105583620340426
"19","ibr46",0.476958531428369,5.42769346437023,-0.000390789039960441,-0.00882814074304301
"20","ibr47",0.544662869675959,6.11623428222418,-0.000411377237681259,-0.011774497381129
"21","ibr48",0.666259372839758,5.08404724879186,-0.000405028929590993,-0.010400968336246
"22","ibr49",0.545704463971109,4.89912559945637,-0.000297136907991227,-0.0087260892471872
