"","land","adj_r2","(Intercept)","barr","mort"
"1","pan0",0.493882852533163,-0.0350041329781472,0.0000430302794860249,0.00147976509082384
"2","ibd1",0.637655980250654,-0.00180724746570923,0.0000526161355132503,0.00165303473842408
"3","ibr20",0.712169928088349,0.0330094086040615,0.000056202376735827,0.00161764200654495
"4","ibr21",0.675985404703471,0.0351338701363983,0.0000551379072148792,0.00147105349946712
"5","ibr22",0.682580730051429,0.0337879862619585,0.0000502894493698341,0.00143096711349704
"6","ibr23",0.700746032666979,0.0696716025490054,0.0000543470249482717,0.00141428883863399
"7","ibr24",0.695688267479876,0.0393233618468774,0.0000525033159816795,0.00146421352733316
"8","ibr25",0.630571447903987,0.0221613337453126,0.0000539351823420572,0.00152693568848087
"9","ibr26",0.68266000613095,0.0397591480717736,0.0000527093285242872,0.0013921416129317
"10","ibr27",0.631735356743124,0.0216128611425828,0.0000529243058426352,0.00162923749506742
"11","ibr28",0.691715776291806,0.0367548520202546,0.0000544851698679945,0.00162434853523786
"12","ibr29",0.688138283410425,0.038464428667201,0.0000589439962692522,0.00148331728720177
"13","ibr40",0.659290956332007,0.0708597591517334,0.0000590086288970005,0.00150107642958145
"14","ibr41",0.635658109531857,0.0484088863690737,0.0000656619068577188,0.00185964172686352
"15","ibr42",0.612843139457533,0.0585556902675283,0.0000592706172059791,0.00150126072867931
"16","ibr43",-0.00815618535493368,0.329627618437485,0.0000010934363350121,0.000204303564000805
"17","ibr44",0.498866589651393,0.147732209182528,0.000045469413249779,0.0013907039273484
"18","ibr45",0.622757008645646,0.0125691070253978,0.0000695933994734213,0.00198576648260746
"19","ibr46",0.669725091430217,0.039872851459141,0.0000627501316750095,0.00199980273609853
"20","ibr47",0.616968839087685,-0.00857705965612693,0.0000658243931166642,0.00190582010618909
"21","ibr48",0.671273672745782,0.0942543151741649,0.0000674751454879145,0.00185252594812079
"22","ibr49",0.633090804627504,0.125329181521367,0.0000521136657996655,0.00162917175630543
