"","land","adj_r2","(Intercept)","barr","mort"
"1","pan0",0.966800772821592,0.544299910563031,-0.000165862082472458,-0.00562245296445172
"2","ibd1",0.912563128090749,0.0355528276372001,-0.0000139913944054821,-0.000334367829909285
"3","ibr20",0.920204753664762,0.0252473923240877,-0.00000993580234149472,-0.000240366234566587
"4","ibr21",0.913436367756295,0.0321911938308746,-0.0000126838590715293,-0.000303734968946668
"5","ibr22",0.91458110429413,0.0274178450938912,-0.0000108102838464222,-0.000258816467073318
"6","ibr23",0.924535421370587,0.0197993017118933,-0.00000778529822583467,-0.000190739188189979
"7","ibr24",0.917435875851177,0.0330063223867125,-0.0000129348146494117,-0.000311315009613793
"8","ibr25",0.913290791711696,0.0352290632291009,-0.0000138546544402862,-0.00033170257893337
"9","ibr26",0.913120943640177,0.0298502053829512,-0.0000117786907961532,-0.000281168232339533
"10","ibr27",0.913661936205437,0.0357258669673854,-0.0000140547782339629,-0.000336573567576538
"11","ibr28",0.91742302025874,0.0282933094479859,-0.000011114151388865,-0.000267425006972158
"12","ibr29",0.924488962823549,0.0270834912577496,-0.0000105910363588322,-0.000256472557470259
"13","ibr40",0.918174267491953,0.017790937374022,-0.00000698585050964894,-0.000169677997320182
"14","ibr41",0.908728597103092,0.0366598203780747,-0.0000144529484246033,-0.000343091736962704
"15","ibr42",0.906885214702558,0.0259696883971592,-0.0000102741726064112,-0.000243369911103599
"16","ibr43",0.709166375497325,0.00169452549804138,-0.000000659338538328317,-0.0000197266593443874
"17","ibr44",0.92435246683762,0.0347681523320762,-0.0000135603700276158,-0.000343927129277776
"18","ibr45",0.910273882585402,0.0429019167729873,-0.0000169237071823876,-0.000402809119663993
"19","ibr46",0.906617222049948,0.0313880932576903,-0.0000124172753835241,-0.000293054330217599
"20","ibr47",0.913185953194917,0.0457180152492151,-0.0000179843827010773,-0.000430115074827582
"21","ibr48",0.924722613909303,0.0290527382420085,-0.0000113782690081347,-0.000278170521703594
"22","ibr49",0.934030046221293,0.0253638635172112,-0.00000981866849056991,-0.000243862875976502
