"","land","barr","mort","mean","sd","meann","ngen"
"116","ibr23",2250,0,0.0002,0,795,500
"117","ibr23",2250,25,0.0001,0,795,500
"118","ibr23",2250,50,0.0001,0,795,500
"119","ibr23",2250,75,0,0,795,500
"120","ibr23",2250,100,0,0,795,500
"121","ibr23",3000,0,0,0,795,500
"122","ibr23",3000,25,0,0,795,500
"123","ibr23",3000,50,0,0,795,500
"124","ibr23",3000,75,0,0,795,500
"125","ibr23",3000,100,0,0,795,500
"126","ibr24",0,0,0.0357,0.0003,799,500
"127","ibr24",0,25,0.028,0.0003,798,500
"128","ibr24",0,50,0.0195,0.0002,797,500
"129","ibr24",0,75,0.0098,0.0002,793,500
"130","ibr24",0,100,0,0,785,500
"131","ibr24",750,0,0.0205,0.0003,799,500
"132","ibr24",750,25,0.0157,0.0002,798,500
"133","ibr24",750,50,0.011,0.0001,798,500
"134","ibr24",750,75,0.0056,0.0002,797,500
"135","ibr24",750,100,0,0,795,500
"136","ibr24",1500,0,0.0075,0.0002,798,500
"137","ibr24",1500,25,0.0059,0.0001,798,500
"138","ibr24",1500,50,0.0041,0.0001,798,500
"139","ibr24",1500,75,0.0021,0.0001,798,500
"140","ibr24",1500,100,0,0,797,500
"141","ibr24",2250,0,0.0012,0,798,500
"142","ibr24",2250,25,0.0009,0,798,500
"143","ibr24",2250,50,0.0006,0,798,500
"144","ibr24",2250,75,0.0003,0,798,500
"145","ibr24",2250,100,0,0,798,500
"146","ibr24",3000,0,0,0,798,500
"147","ibr24",3000,25,0,0,798,500
"148","ibr24",3000,50,0,0,798,500
"149","ibr24",3000,75,0,0,798,500
"150","ibr24",3000,100,0,0,798,500
"151","ibr25",0,0,0.0385,0.0002,798,500
"152","ibr25",0,25,0.0299,0.0002,797,500
"153","ibr25",0,50,0.0206,0.0002,797,500
"154","ibr25",0,75,0.0108,0.0002,796,500
"155","ibr25",0,100,0,0,794,500
"156","ibr25",750,0,0.0215,0.0002,798,500
"157","ibr25",750,25,0.0166,0.0002,797,500
"158","ibr25",750,50,0.0115,0.0002,797,500
"159","ibr25",750,75,0.0059,0.0001,797,500
"160","ibr25",750,100,0,0,797,500
"161","ibr25",1500,0,0.0078,0.0002,798,500
"162","ibr25",1500,25,0.006,0.0001,797,500
"163","ibr25",1500,50,0.0041,0.0001,797,500
"164","ibr25",1500,75,0.0021,0,797,500
"165","ibr25",1500,100,0,0,797,500
"166","ibr25",2250,0,0.0012,0,797,500
"167","ibr25",2250,25,0.0009,0.0001,797,500
"168","ibr25",2250,50,0.0006,0,797,500
"169","ibr25",2250,75,0.0003,0,797,500
"170","ibr25",2250,100,0,0,797,500
"171","ibr25",3000,0,0,0,797,500
"172","ibr25",3000,25,0,0,797,500
"173","ibr25",3000,50,0,0,797,500
"174","ibr25",3000,75,0,0,797,500
"175","ibr25",3000,100,0,0,797,500
"176","ibr26",0,0,0.0323,0.0002,798,500
"177","ibr26",0,25,0.0253,0.0004,797,500
"178","ibr26",0,50,0.0176,0.0002,797,500
"179","ibr26",0,75,0.0091,0.0001,795,500
"180","ibr26",0,100,0,0,791,500
"181","ibr26",750,0,0.0187,0.0002,798,500
"182","ibr26",750,25,0.0144,0.0001,797,500
"183","ibr26",750,50,0.01,0.0001,797,500
"184","ibr26",750,75,0.0052,0.0001,796,500
"185","ibr26",750,100,0,0,795,500
"186","ibr26",1500,0,0.0064,0.0001,797,500
"187","ibr26",1500,25,0.0049,0.0001,797,500
"188","ibr26",1500,50,0.0034,0.0001,797,500
"189","ibr26",1500,75,0.0017,0.0001,797,500
"190","ibr26",1500,100,0,0,797,500
"191","ibr26",2250,0,0.0007,0.0001,797,500
"192","ibr26",2250,25,0.0005,0,797,500
"193","ibr26",2250,50,0.0004,0,797,500
"194","ibr26",2250,75,0.0002,0,797,500
"195","ibr26",2250,100,0,0,797,500
"196","ibr26",3000,0,0,0,797,500
"197","ibr26",3000,25,0,0,797,500
"198","ibr26",3000,50,0,0,797,500
"199","ibr26",3000,75,0,0,797,500
"200","ibr26",3000,100,0,0,797,500
"201","ibr27",0,0,0.0388,0.0002,797,500
"202","ibr27",0,25,0.0305,0.0002,797,500
"203","ibr27",0,50,0.021,0.0002,797,500
"204","ibr27",0,75,0.0108,0.0002,796,500
"205","ibr27",0,100,0,0,794,500
"206","ibr27",750,0,0.0219,0.0002,797,500
"207","ibr27",750,25,0.0169,0.0002,797,500
"208","ibr27",750,50,0.0117,0.0002,797,500
"209","ibr27",750,75,0.006,0.0001,797,500
"210","ibr27",750,100,0,0,796,500
"211","ibr27",1500,0,0.0079,0.0001,797,500
"212","ibr27",1500,25,0.006,0.0001,797,500
"213","ibr27",1500,50,0.0041,0.0001,797,500
"214","ibr27",1500,75,0.0022,0.0001,797,500
"215","ibr27",1500,100,0,0,797,500
"216","ibr27",2250,0,0.0011,0,797,500
"217","ibr27",2250,25,0.0009,0,797,500
"218","ibr27",2250,50,0.0006,0,797,500
"219","ibr27",2250,75,0.0003,0,797,500
"220","ibr27",2250,100,0,0,797,500
"221","ibr27",3000,0,0,0,797,500
"222","ibr27",3000,25,0,0,797,500
"223","ibr27",3000,50,0,0,797,500
"224","ibr27",3000,75,0,0,797,500
"225","ibr27",3000,100,0,0,797,500
"226","ibr28",0,0,0.0306,0.0002,798,500
"227","ibr28",0,25,0.0239,0.0002,798,500
"228","ibr28",0,50,0.0166,0.0002,797,500
"229","ibr28",0,75,0.0085,0.0001,795,500
"230","ibr28",0,100,0,0,792,500
"231","ibr28",750,0,0.018,0.0002,798,500
"232","ibr28",750,25,0.0139,0.0002,798,500
"233","ibr28",750,50,0.0095,0.0002,797,500
"234","ibr28",750,75,0.005,0.0001,797,500
"235","ibr28",750,100,0,0,796,500
"236","ibr28",1500,0,0.0062,0.0002,797,500
"237","ibr28",1500,25,0.0047,0.0001,797,500
"238","ibr28",1500,50,0.0033,0.0001,797,500
"239","ibr28",1500,75,0.0017,0.0001,797,500
"240","ibr28",1500,100,0,0,797,500
"241","ibr28",2250,0,0.0009,0.0001,797,500
"242","ibr28",2250,25,0.0007,0,797,500
"243","ibr28",2250,50,0.0004,0,797,500
"244","ibr28",2250,75,0.0002,0,797,500
"245","ibr28",2250,100,0,0,797,500
"246","ibr28",3000,0,0,0,797,500
"247","ibr28",3000,25,0,0,797,500
"248","ibr28",3000,50,0,0,797,500
"249","ibr28",3000,75,0,0,797,500
"250","ibr28",3000,100,0,0,797,500
"251","ibr29",0,0,0.0289,0.0002,798,500
"252","ibr29",0,25,0.0228,0.0001,797,500
"253","ibr29",0,50,0.0157,0.0002,796,500
"254","ibr29",0,75,0.0081,0.0001,794,500
"255","ibr29",0,100,0,0,789,500
"256","ibr29",750,0,0.0177,0.0001,798,500
"257","ibr29",750,25,0.0137,0.0001,797,500
"258","ibr29",750,50,0.0094,0.0001,797,500
"259","ibr29",750,75,0.0049,0.0001,796,500
"260","ibr29",750,100,0,0,794,500
"261","ibr29",1500,0,0.0063,0.0001,797,500
"262","ibr29",1500,25,0.0048,0.0001,797,500
"263","ibr29",1500,50,0.0034,0.0001,797,500
"264","ibr29",1500,75,0.0017,0.0001,797,500
"265","ibr29",1500,100,0,0,796,500
"266","ibr29",2250,0,0.0008,0,797,500
"267","ibr29",2250,25,0.0006,0,797,500
"268","ibr29",2250,50,0.0004,0,797,500
"269","ibr29",2250,75,0.0002,0,797,500
"270","ibr29",2250,100,0,0,797,500
"271","ibr29",3000,0,0,0,797,500
"272","ibr29",3000,25,0,0,797,500
"273","ibr29",3000,50,0,0,797,500
"274","ibr29",3000,75,0,0,797,500
"275","ibr29",3000,100,0,0,797,500
"276","ibr40",0,0,0.0192,0.0003,640,500
