"","V1","V2","V3","V4"
"1","PAN","roadkill","0.979589116114011","-212.832727563895"
"2","PAN","roadresist","0.955629081907043","-181.437300450746"
"3","PAN","roadresist_2","0.992470142407759","-336.509652714071"
"4","IBD","roadkill","0.997124596124478","-574.140110192057"
"5","IBD","roadresist","0.895606891209101","-388.087558974948"
"6","IBD","roadresist_sqrt","0.992515221226219","-360.451075402855"
