"","PD.cls_2","GYRATE_AM.cls_2","CLUMPY.cls_2","COHESION.cls_2","AI.cls_2"
"PD.cls_2",1,0.455803704364119,-0.82050718254504,0.000725017767422851,-0.873437974524294
"GYRATE_AM.cls_2",0.455803704364119,1,-0.504166701513606,0.687087000131734,-0.372892532391612
"CLUMPY.cls_2",-0.82050718254504,-0.504166701513606,1,-0.313570959492779,0.940627504604804
"COHESION.cls_2",0.000725017767422851,0.687087000131734,-0.313570959492779,1,-0.0708212780662286
"AI.cls_2",-0.873437974524294,-0.372892532391612,0.940627504604804,-0.0708212780662286,1
