"","land","adj_r2","(Intercept)","barr","mort"
"1","pan0",0.177965070615543,8.72436710570938,0.000234844793599151,-0.0146954327590053
"2","ibd1",0.00276090406194307,8.85879999999998,0.0000269333333333344,-0.000487999999999968
"3","ibr20",0.0294326903491599,8.79199999999999,0.0000576000000000009,-0.000247999999999977
"4","ibr21",0.0333422068019223,8.87159999999998,0.0000458666666666678,-0.00103999999999996
"5","ibr22",0.0249540548641567,8.82199999999999,0.0000376000000000009,-0.000983999999999977
"6","ibr23",0.00200441404907392,8.8344,0.0000261333333333338,-0.000527999999999988
"7","ibr24",-0.00442616324477774,8.79879999999998,0.00000586666666666787,0.000472000000000037
"8","ibr25",-0.00468934014456202,8.8392,0.0000120000000000001,-0.000344
"9","ibr26",0.00954512582774936,8.8188,0.0000360000000000001,0.000376000000000007
"10","ibr27",0.014885969518177,8.8956,0.0000232000000000002,-0.00110399999999999
"11","ibr28",0.00765310388783036,8.87719999999998,0.000012000000000001,-0.00114399999999997
"12","ibr29",0.00348488655291002,8.852,0.0000269333333333337,-0.000543999999999989
"13","ibr40",-0.00468958064337199,8.174,-0.0000106666666666664,-0.000527999999999995
"14","ibr41",-0.00162516107171351,8.1816,-0.00000186666666666668,-0.000808
"15","ibr42",0.027420567851098,8.20799999999999,0.0000597333333333337,-0.00064799999999999
"16","ibr43",-0.00578612622058716,7.08240000000001,-0.0000160000000000001,0.000167999999999989
"17","ibr44",0.0343265147298478,8.38879999999999,0.0000410666666666673,-0.00186399999999998
"18","ibr45",0.0482994697969289,8.23919999999998,0.0000696000000000012,-0.00147999999999997
"19","ibr46",-0.00546288390899941,8.0856,0.000016266666666667,0.000304000000000012
"20","ibr47",0.0257402503304268,8.2632,0.00000560000000000044,-0.00187199999999999
"21","ibr48",0.0294808992234279,8.1436,0.0000514666666666669,-0.001424
"22","ibr49",0.00943280449490136,8.12279999999999,0.0000402666666666673,-0.000615999999999986
